"Rk","G","Month","Day","Year","Age.Year","Age.Day","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","PM","Season","Date","Status","Name","LName"
59,59,3,7,1988,25,19,"CHI","@","NYK","L (-12)",1,"44:00:00",12,24,0.5,0,2,0,14,16,0.875,1,9,10,3,1,0,4,4,38,26.1,NA,4,1988-03-07,"Regular Season","Michael","Jordan"
60,60,3,10,1988,25,22,"CHI","","LAL","W (+21)",1,"42:00:00",17,34,0.5,0,1,0,4,4,1,5,4,9,7,3,1,2,2,38,31.5,NA,4,1988-03-10,"Regular Season","Michael","Jordan"
61,61,3,12,1988,25,24,"CHI","","SAS","W (+20)",1,"34:00:00",9,22,0.409,0,0,NA,10,12,0.833,3,4,7,6,0,0,2,2,28,20.1,NA,4,1988-03-12,"Regular Season","Michael","Jordan"
62,62,3,15,1988,25,27,"CHI","","CLE","W (+19)",1,"37:00:00",17,29,0.586,0,0,NA,4,7,0.571,4,2,6,1,2,1,2,2,38,27.3,NA,4,1988-03-15,"Regular Season","Michael","Jordan"
63,63,3,16,1988,25,28,"CHI","@","WSB","L (-3)",1,"39:00:00",10,23,0.435,0,0,NA,5,5,1,3,1,4,5,0,2,3,2,25,16.4,NA,4,1988-03-16,"Regular Season","Michael","Jordan"
64,64,3,18,1988,25,30,"CHI","","BOS","W (+10)",1,"42:00:00",19,32,0.594,1,2,0.5,11,11,1,2,3,5,9,5,1,1,4,50,46.9,NA,4,1988-03-18,"Regular Season","Michael","Jordan"
65,65,3,20,1988,25,32,"CHI","@","BOS","L (-30)",1,"39:00:00",10,18,0.556,0,0,NA,6,8,0.75,0,4,4,7,1,1,5,4,26,17.8,NA,4,1988-03-20,"Regular Season","Michael","Jordan"
66,66,3,23,1988,25,35,"CHI","@","PHI","W (+16)",1,"42:00:00",20,35,0.571,0,1,0,9,12,0.75,5,8,13,2,0,2,0,4,49,38.4,NA,4,1988-03-23,"Regular Season","Michael","Jordan"
67,67,3,25,1988,25,37,"CHI","@","CLE","W (+1)",1,"48:00:00",14,29,0.483,0,0,NA,11,13,0.846,2,6,8,7,2,4,3,3,39,32.2,NA,4,1988-03-25,"Regular Season","Michael","Jordan"
68,68,3,26,1988,25,38,"CHI","","IND","W (+9)",1,"42:00:00",16,27,0.593,0,2,0,6,9,0.667,0,3,3,2,3,4,6,2,38,25.6,NA,4,1988-03-26,"Regular Season","Michael","Jordan"
69,69,3,29,1988,25,41,"CHI","@","SEA","L (-3)",1,"42:00:00",8,17,0.471,0,0,NA,10,12,0.833,1,3,4,4,2,2,6,3,26,17.1,NA,4,1988-03-29,"Regular Season","Michael","Jordan"
